Day,OT_Scripture_Readings,NT_Scripture_Readings,OT_URL,NT_URL,Video_URLs
273,Isaiah 45; Isaiah 46,Ephesians 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/273,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/273,
274,Isaiah 47; Isaiah 48,Ephesians 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/274,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/274,
275,Isaiah 49; Isaiah 50,Ephesians 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/275,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/275,
276,Isaiah 51; Isaiah 52,Ephesians 5,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/276,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/276,
277,Isaiah 53; Isaiah 54,Ephesians 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/277,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/277,
278,Isaiah 55; Isaiah 56,Philippians 1,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/278,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/278,https://www.youtube.com/embed/oE9qqW1-BkU
279,Isaiah 57; Isaiah 58,Philippians 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/279,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/279,
280,Isaiah 59; Isaiah 60,Philippians 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/280,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/280,
281,Isaiah 61; Isaiah 62,Philippians 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/281,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/281,
282,Isaiah 63; Isaiah 64,Colossians 1,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/282,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/282,https://www.youtube.com/embed/pXTXlDxQsvc
283,Isaiah 65; Isaiah 66,Colossians 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/283,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/283,
284,Jeremiah 1; Jeremiah 2,Colossians 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/284,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/284,https://www.youtube.com/embed/RSK36cHbrk0
